,ZIP,Neighborhood
0,94102,Financial District
1,94102,Hayes Valley
2,94102,Mission
3,94102,Nob Hill
4,94102,South of Market
5,94102,Tenderloin
6,94102,Western Addition
7,94103,Castro/Upper Market
8,94103,Financial District
9,94103,Hayes Valley
10,94103,Mission
11,94103,Mission Bay
12,94103,Potrero Hill
13,94103,South of Market
14,94103,Tenderloin
15,94104,Chinatown
16,94104,Financial District
17,94105,Financial District
18,94105,Mission Bay
19,94105,South of Market
20,94107,Bayview Hunters Point
21,94107,Financial District
22,94107,Mission
23,94107,Mission Bay
24,94107,Potrero Hill
25,94107,South of Market
26,94108,Chinatown
27,94108,Financial District
28,94108,Nob Hill
29,94108,South of Market
30,94108,Tenderloin
31,94109,Japantown
32,94109,Marina
33,94109,Nob Hill
34,94109,North Beach
35,94109,Pacific Heights
36,94109,Russian Hill
37,94109,Tenderloin
38,94109,Western Addition
39,94110,Bayview Hunters Point
40,94110,Bernal Heights
41,94110,Castro/Upper Market
42,94110,Excelsior
43,94110,Glen Park
44,94110,Mission
45,94110,Noe Valley
46,94110,Outer Mission
47,94110,Portola
48,94110,Potrero Hill
49,94111,Chinatown
50,94111,Financial District
51,94111,North Beach
52,94112,Bernal Heights
53,94112,Excelsior
54,94112,Glen Park
55,94112,McLaren Park
56,94112,Oceanview/Merced/Ingleside
57,94112,Outer Mission
58,94112,Portola
59,94112,West of Twin Peaks
60,94114,Castro/Upper Market
61,94114,Haight Ashbury
62,94114,Hayes Valley
63,94114,Inner Sunset
64,94114,Mission
65,94114,Noe Valley
66,94114,Twin Peaks
67,94115,Japantown
68,94115,Lone Mountain/USF
69,94115,Pacific Heights
70,94115,Presidio
71,94115,Presidio Heights
72,94115,Western Addition
73,94116,Inner Sunset
74,94116,Lakeshore
75,94116,Sunset/Parkside
76,94116,Twin Peaks
77,94116,West of Twin Peaks
78,94117,Castro/Upper Market
79,94117,Golden Gate Park
80,94117,Haight Ashbury
81,94117,Hayes Valley
82,94117,Inner Sunset
83,94117,Lone Mountain/USF
84,94117,Western Addition
85,94118,Golden Gate Park
86,94118,Inner Richmond
87,94118,Lone Mountain/USF
88,94118,Outer Richmond
89,94118,Presidio
90,94118,Presidio Heights
91,94118,Seacliff
92,94121,Golden Gate Park
93,94121,Lincoln Park
94,94121,Outer Richmond
95,94121,Presidio
96,94121,Seacliff
97,94122,Golden Gate Park
98,94122,Haight Ashbury
99,94122,Inner Richmond
100,94122,Inner Sunset
101,94122,Lone Mountain/USF
102,94122,Outer Richmond
103,94122,Sunset/Parkside
104,94122,West of Twin Peaks
105,94123,Marina
106,94123,Pacific Heights
107,94123,Presidio
108,94123,Russian Hill
109,94124,Bayview Hunters Point
110,94124,Bernal Heights
111,94124,Mission
112,94124,Portola
113,94124,Potrero Hill
114,94124,Treasure Island
115,94124,Visitacion Valley
116,94127,Glen Park
117,94127,Oceanview/Merced/Ingleside
118,94127,Twin Peaks
119,94127,West of Twin Peaks
120,94128, 
121,94129,Inner Richmond
122,94129,Marina
123,94129,Pacific Heights
124,94129,Presidio
125,94129,Presidio Heights
126,94129,Seacliff
127,94130,Treasure Island
128,94131,Bernal Heights
129,94131,Castro/Upper Market
130,94131,Glen Park
131,94131,Inner Sunset
132,94131,Mission
133,94131,Noe Valley
134,94131,Outer Mission
135,94131,Twin Peaks
136,94131,West of Twin Peaks
137,94132,Lakeshore
138,94132,Oceanview/Merced/Ingleside
139,94132,Outer Mission
140,94132,Sunset/Parkside
141,94132,West of Twin Peaks
142,94133,Chinatown
143,94133,Financial District
144,94133,Nob Hill
145,94133,North Beach
146,94133,Russian Hill
147,94134,Bayview Hunters Point
148,94134,Bernal Heights
149,94134,Excelsior
150,94134,McLaren Park
151,94134,Portola
152,94134,Visitacion Valley
153,94158,Mission Bay
154,94158,Potrero Hill
